source,target,relation,method,confidence,doc_id
COBS 2.1.5,COBS 2.2,CITES,rule,0.97,COBS_0024
COBS 2.1.5,COBS 2.2.,CITES,rule,0.97,COBS_0024
COBS 2.1.5,COBS 2.2.1R,CITES,rule,0.97,COBS_0024
COBS 2.1.5,COBS 2.2A,CITES,rule,0.97,COBS_0024
COBS 2.2.2,COBS 2.2.1,CITES,rule,0.97,COBS_0026
COBS 2.2.2,COBS 6.1,CITES,rule,0.97,COBS_0026
COBS 2.2.3,COBS 2.2A,CITES,rule,0.97,COBS_0027
COBS 2.2.3,COBS 2.2A.1,CITES,rule,0.97,COBS_0027
COBS 2.2.3,COBS 2.2A.2R,CITES,rule,0.97,COBS_0027
COBS 2.2.3,COBS 2.2A.1A,CITES,rule,0.97,COBS_0027
COBS 2.2.3,COBS 1.4.2G,CITES,rule,0.97,COBS_0027
COBS 2.2.3,COBS 2.2A.2,CITES,rule,0.97,COBS_0027
COBS 2.2.3,COBS 2.2A.2A,CITES,rule,0.97,COBS_0027
COBS 2.2.3,COBS 2.2A.3,CITES,rule,0.97,COBS_0027
COBS 2.2.3,COBS 2.2A.4,CITES,rule,0.97,COBS_0027
COBS 2.2.3,COBS 6.1ZA,CITES,rule,0.97,COBS_0027
COBS 2.2.3,COBS 9A.3,CITES,rule,0.97,COBS_0027
COBS 2.2.3,COBS 14.3,CITES,rule,0.97,COBS_0027
COBS 2.2.3,COBS 14.3A,CITES,rule,0.97,COBS_0027
COBS 2.2.3,COBS 2.2A.5,CITES,rule,0.97,COBS_0027
COBS 2.2.3,COBS 2.2.3R,CITES,rule,0.97,COBS_0027
COBS 2.2.3,COBS 2.2A.6,CITES,rule,0.97,COBS_0027
COBS 2.2.3,COBS 2.2A.7,CITES,rule,0.97,COBS_0027
COBS 2.2.3,COBS 2.2B,CITES,rule,0.97,COBS_0027
COBS 2.2.3,COBS 2.2B.1,CITES,rule,0.97,COBS_0027
COBS 2.2.3,COBS 2.2B.2,CITES,rule,0.97,COBS_0027
COBS 2.2.3,COBS 2.2B.3,CITES,rule,0.97,COBS_0027
COBS 2.2.3,COBS 2.2B.4,CITES,rule,0.97,COBS_0027
COBS 2.2.3,COBS 2.2B.5,CITES,rule,0.97,COBS_0027
COBS 2.2.3,COBS 2.2B.6R,CITES,rule,0.97,COBS_0027
COBS 2.2.3,COBS 2.2B.7R,CITES,rule,0.97,COBS_0027
COBS 2.2.3,COBS 2.2B.6,CITES,rule,0.97,COBS_0027
COBS 2.2.3,COBS 2.2B.7,CITES,rule,0.97,COBS_0027
COBS 2.2.3,COBS 2.2B.8,CITES,rule,0.97,COBS_0027
COBS 2.2.3,COBS 2.2B.5R,CITES,rule,0.97,COBS_0027
COBS 2.2.3,COBS 2.2B.9,CITES,rule,0.97,COBS_0027
COBS 2.2.3,COBS 2.2B.10,CITES,rule,0.97,COBS_0027
COBS 2.2.3,COBS 2.2B.9R,CITES,rule,0.97,COBS_0027
COBS 2.2.3,COBS 2.3,CITES,rule,0.97,COBS_0027
COBS 2.2.3,COBS 2.3.,CITES,rule,0.97,COBS_0027
COBS 2.2.3,COBS 2.3A,CITES,rule,0.97,COBS_0027
COBS 2.2.3,COBS 19.6,CITES,rule,0.97,COBS_0027
COBS 2.2.3,COBS 6.1A,CITES,rule,0.97,COBS_0027
COBS 2.3.1,COBS 2.3.15,CITES,rule,0.97,COBS_0028
COBS 2.3.6A,COBS 6.1A,CITES,rule,0.97,COBS_0035
COBS 2.3.6A,COBS 6.1B,CITES,rule,0.97,COBS_0035
COBS 2.3.6A,COBS 6.1C,CITES,rule,0.97,COBS_0035
COBS 2.3.6A,COBS 6.1D,CITES,rule,0.97,COBS_0035
COBS 2.3.10,COBS 6.4,CITES,rule,0.97,COBS_0038
COBS 2.3.10,COBS 2.3.1,CITES,rule,0.97,COBS_0038
COBS 2.3.11,COBS 6.4,CITES,rule,0.97,COBS_0039
COBS 2.3.11,COBS 2.3.1R,CITES,rule,0.97,COBS_0039
COBS 2.3.12,COBS 6.1A.5,CITES,rule,0.97,COBS_0041
COBS 2.3.12,COBS 6.1C.6,CITES,rule,0.97,COBS_0041
COBS 2.3.12,COBS 2.3.1,CITES,rule,0.97,COBS_0041
COBS 2.3.12A,COBS 2.3.12E,CITES,rule,0.97,COBS_0042
COBS 2.3.13,COBS 2.3.1,CITES,rule,0.97,COBS_0043
COBS 2.3.13,COBS 2.3.10,CITES,rule,0.97,COBS_0043
COBS 2.3.13,COBS 2.3.12,CITES,rule,0.97,COBS_0043
COBS 2.3.14,COBS 2.3.15,CITES,rule,0.97,COBS_0044
COBS 2.3.14,COBS 6.4.3,CITES,rule,0.97,COBS_0044
COBS 2.3.14,COBS 6.1A.9,CITES,rule,0.97,COBS_0044
COBS 2.3.14,COBS 6.1C.8,CITES,rule,0.97,COBS_0044
COBS 2.3.15,COBS 2.3.14,CITES,rule,0.97,COBS_0045
COBS 2.3.16,COBS 6.1A,CITES,rule,0.97,COBS_0046
COBS 2.3.16,COBS 6.1C,CITES,rule,0.97,COBS_0046
COBS 2.3.16A,COBS 2.3.1R,CITES,rule,0.97,COBS_0047
COBS 2.3.16B,COBS 2.3.14G,CITES,rule,0.97,COBS_0048
COBS 2.3.16B,COBS 2.3.16AG,CITES,rule,0.97,COBS_0048
COBS 2.3.16B,COBS 6.1A,CITES,rule,0.97,COBS_0048
COBS 2.3.16B,COBS 6.1B,CITES,rule,0.97,COBS_0048
COBS 2.3.17,COBS 2.3.1R,CITES,rule,0.97,COBS_0050
COBS 2.3.17,COBS 2.3A,CITES,rule,0.97,COBS_0050
COBS 2.3.17,COBS 2.3A.1,CITES,rule,0.97,COBS_0050
COBS 2.3.17,COBS 6.1A,CITES,rule,0.97,COBS_0050
COBS 2.3.17,COBS 6.1B,CITES,rule,0.97,COBS_0050
COBS 2.3.17,COBS 6.1E,CITES,rule,0.97,COBS_0050
COBS 2.3.17,COBS 2.3A.2,CITES,rule,0.97,COBS_0050
COBS 2.3.17,COBS 2.3A.3,CITES,rule,0.97,COBS_0050
COBS 2.3.17,COBS 2.3A.4,CITES,rule,0.97,COBS_0050
COBS 2.3.17,COBS 2.3A.5,CITES,rule,0.97,COBS_0050
COBS 2.3.17,COBS 2.3A.6R,CITES,rule,0.97,COBS_0050
COBS 2.3.17,COBS 2.3A.6,CITES,rule,0.97,COBS_0050
COBS 2.3.17,COBS 2.3A.5R,CITES,rule,0.97,COBS_0050
COBS 2.3.17,COBS 2.3A.8R,CITES,rule,0.97,COBS_0050
COBS 2.3.17,COBS 2.3A.9AR,CITES,rule,0.97,COBS_0050
COBS 2.3.17,COBS 2.3B,CITES,rule,0.97,COBS_0050
COBS 2.3.17,COBS 2.3B.3R,CITES,rule,0.97,COBS_0050
COBS 2.3.17,COBS 2.3A.10R,CITES,rule,0.97,COBS_0050
COBS 2.3.17,COBS 2.3A.7,CITES,rule,0.97,COBS_0050
COBS 2.3.17,COBS 2.1.1R,CITES,rule,0.97,COBS_0050
COBS 2.3.17,COBS 2.3A.8,CITES,rule,0.97,COBS_0050
COBS 2.3.17,COBS 2.3A.9,CITES,rule,0.97,COBS_0050
COBS 2.3.17,COBS 2.3A.9A,CITES,rule,0.97,COBS_0050
COBS 2.3.17,COBS 2.3A.10,CITES,rule,0.97,COBS_0050
COBS 2.3.17,COBS 2.3A.11,CITES,rule,0.97,COBS_0050
COBS 2.3.17,COBS 2.3A.12,CITES,rule,0.97,COBS_0050
COBS 2.3.17,COBS 2.3A.13,CITES,rule,0.97,COBS_0050
COBS 2.3.17,COBS 2.3A.12R,CITES,rule,0.97,COBS_0050
COBS 2.3.17,COBS 6.1ZA,CITES,rule,0.97,COBS_0050
COBS 2.3.17,COBS 2.3A.14,CITES,rule,0.97,COBS_0050
COBS 2.3.17,COBS 2.3A.15,CITES,rule,0.97,COBS_0050
COBS 2.3.17,COBS 6.1A.6R,CITES,rule,0.97,COBS_0050
COBS 2.3.17,COBS 2.3A.19R,CITES,rule,0.97,COBS_0050
COBS 2.3.17,COBS 6.1A.5AR,CITES,rule,0.97,COBS_0050
COBS 2.3.17,COBS 2.3A.16,CITES,rule,0.97,COBS_0050
COBS 2.3.17,COBS 2.3A.17,CITES,rule,0.97,COBS_0050
COBS 2.3.17,COBS 2.3A.18,CITES,rule,0.97,COBS_0050
COBS 2.3.17,COBS 2.3A.19,CITES,rule,0.97,COBS_0050
COBS 2.3.17,COBS 2.3A.20,CITES,rule,0.97,COBS_0050
COBS 2.3.17,COBS 2.3A.21,CITES,rule,0.97,COBS_0050
COBS 2.3.17,COBS 2.3A.22,CITES,rule,0.97,COBS_0050
COBS 2.3.17,COBS 2.3A.22A,CITES,rule,0.97,COBS_0050
COBS 2.3.17,COBS 2.3A.23,CITES,rule,0.97,COBS_0050
COBS 2.3.17,COBS 2.3A.24,CITES,rule,0.97,COBS_0050
COBS 2.3.17,COBS 6.4,CITES,rule,0.97,COBS_0050
COBS 2.3.17,COBS 2.3A.25,CITES,rule,0.97,COBS_0050
COBS 2.3.17,COBS 2.3A.26,CITES,rule,0.97,COBS_0050
COBS 2.3.17,COBS 2.3A.27,CITES,rule,0.97,COBS_0050
COBS 2.3.17,COBS 6.1A.5G,CITES,rule,0.97,COBS_0050
COBS 2.3.17,COBS 6.1C.6G,CITES,rule,0.97,COBS_0050
COBS 2.3.17,COBS 2.3A.15R,CITES,rule,0.97,COBS_0050
COBS 2.3.17,COBS 2.3A.28,CITES,rule,0.97,COBS_0050
COBS 2.3.17,COBS 2.3A.27E,CITES,rule,0.97,COBS_0050
COBS 2.3.17,COBS 2.3A.29,CITES,rule,0.97,COBS_0050
COBS 2.3.17,COBS 2.3A.24E,CITES,rule,0.97,COBS_0050
COBS 2.3.17,COBS 2.3A.30,CITES,rule,0.97,COBS_0050
COBS 2.3.17,COBS 2.3A.31,CITES,rule,0.97,COBS_0050
COBS 2.3.17,COBS 11.2A,CITES,rule,0.97,COBS_0050
COBS 2.3.17,COBS 2.3A.32,CITES,rule,0.97,COBS_0050
COBS 2.3.17,COBS 2.3A.33,CITES,rule,0.97,COBS_0050
COBS 2.3.17,COBS 2.3A.34A,CITES,rule,0.97,COBS_0050
COBS 2.3.17,COBS 2.3A.35,CITES,rule,0.97,COBS_0050
COBS 2.3.17,COBS 2.3B.1,CITES,rule,0.97,COBS_0050
COBS 2.3.17,COBS 2.3B.2,CITES,rule,0.97,COBS_0050
COBS 2.3.17,COBS 2.3A.16R,CITES,rule,0.97,COBS_0050
COBS 2.3.17,COBS 2.3B.3,CITES,rule,0.97,COBS_0050
COBS 2.3.17,COBS 2.3B.4R,CITES,rule,0.97,COBS_0050
COBS 2.3.17,COBS 2.3B.25R,CITES,rule,0.97,COBS_0050
COBS 2.3.17,COBS 2.3B.33G,CITES,rule,0.97,COBS_0050
COBS 2.3.17,COBS 2.3B.4,CITES,rule,0.97,COBS_0050
COBS 2.3.17,COBS 2.3B.7R,CITES,rule,0.97,COBS_0050
COBS 2.3.17,COBS 2.3B.8R,CITES,rule,0.97,COBS_0050
COBS 2.3.17,COBS 2.3B.11R,CITES,rule,0.97,COBS_0050
COBS 2.3.17,COBS 2.3B.5,CITES,rule,0.97,COBS_0050
COBS 2.3.17,COBS 2.3B.6,CITES,rule,0.97,COBS_0050
